country,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
ca,Navigation,6010,1,6448311069,ChatGPT,"OpenAI, L.L.C.",https://apps.apple.com/ca/app/chatgpt/id6448311069?uo=4,0.0,4.84586,577607,Productivity,"Introducing ChatGPT for iOS: OpenAI’s latest advancements at your fingertips.

This official app is free, syncs your history across devices, and brings you the latest from OpenAI, including the new image generator.

With ChatGPT in your pocket, you’ll find:

· Image generation–Generate original images from a description, or transform existing ones with a few simple words. 
· Advanced Voice Mode–Tap the soundwave icon to have a real-time convo on the go. Settle a dinner table debate, or practice a new language. 
· Photo upload—Snap or upload a picture to transcribe a handwritten recipe or get info about a landmark. 
· Creative inspiration—Find custom birthday gift ideas or create a personalized greeting card.
· Tailored advice—Talk through a tough situation, ask for a detailed travel itinerary, or get help crafting the perfect response. 
· Personalized learning—Explain electricity to a dinosaur-loving kid or easily brush up yourself on a historic event.
· Professional input—Brainstorm marketing copy or map out a business plan.
· Instant answers—Get recipe suggestions when you only have a few ingredients.

Join hundreds of millions of users and try the app captivating the world. Download ChatGPT today.

Terms of service & privacy policy:
https://openai.com/policies/terms-of-use
https://openai.com/policies/privacy-policy",2023-05-25T07:00:00Z,2025-11-18T16:54:49Z
ca,Navigation,6010,2,6477489729,Google Gemini,Google LLC,https://apps.apple.com/ca/app/google-gemini/id6477489729?uo=4,0.0,4.7275,72281,Productivity,"Google Gemini app is your personal, proactive and powerful AI assistant.

With Gemini on your iPhone or iPad, you can:

- Go Live with Gemini to brainstorm ideas, simplify complex topics and rehearse for important moments. Just click on the Gemini Live button in your Gemini app
- Connect with your favourite Google apps, like Search, YouTube, Google Maps, Gmail and more
- Study smarter and explore any topic with interactive visuals and real-world examples
- Turn any file into a podcast that you can listen to at any time, anywhere
- Create stunning images from just a few words
- Plan trips better and faster
- Get summaries, deep dives and source links, all in one place
- Brainstorm new ideas or improve existing ones

Try Nano Banana: state-of-the-art image generation and editing built on Gemini 2.5 Flash

Level up your Gemini app experience by upgrading to the Pro plan – unlock new and powerful features to tackle complex tasks and projects and enjoy an industry-leading 1 million token context window (enabling Gemini to process up to 1,500 pages of text or 30K lines of code), and:
- Get more access to our most powerful model, like 2.5 Pro
- Generate and dive into detailed reports on any topic with Deep Research powered by 2.5 Pro
- Turn words into high-quality, eight-second video clips with video generation with Veo 3.1 and more.

Google AI Pro is available in 150 countries and territories, and includes additional benefits. Gemini app, as part of Google AI Pro, will continue to be available to qualifying Google Workspace business and education plans. Learn more: https://gemini.google/subscriptions/

Get the best of Gemini app by upgrading to the Ultra plan – unlock the highest level of access and exclusive features to turn anything into anything. Get the highest access to Google's most powerful model, like 2.5 Pro, features like video generation with Veo 3.1, Deep Research on 2.5 Pro and unlock Gemini 2.5 Deep Think. You'll also get early access to try our newest AI innovations as they become available, including Agent Mode.

Gemini in Google AI Ultra is available in Canada and includes additional benefits as part of a Google AI Ultra subscription. Google AI Ultra is not currently available to Google Workspace business and education customers. Learn more: https://gemini.google/subscriptions/

The Google Gemini mobile app is available in selected languages and countries. Learn more:
g.co/gemini/iosrequirements

Gemini Live feature availability varies based on language.
g.co/gemini/ioslanguages

While Gemini can help you with many tasks like checking the weather, giving directions, and finding and summarising information across the web and apps, Gemini does not yet support device actions like setting an alarm, sending a text message and others on iOS.

Review the Gemini Apps Privacy Notice:
g.co/gemini/privacynotice",2024-11-13T08:00:00Z,2025-11-20T01:10:16Z
ca,Navigation,6010,3,920098546,lululemon,lululemon athletica canada inc.,https://apps.apple.com/ca/app/lululemon/id920098546?uo=4,0.0,4.85206,153836,Shopping,"Browse and shop for lululemon gear from anywhere! Be ready for all your sweaty pursuits with technical athletic clothing and accessories for running, cross-training, and yoga.  

Get the gear:
 
• Shop instantly. Our app is built from the ground up to feel as snappy as your personal bests. 
• You’ll find high-quality photos of products taken from every angle and a zoom-in feature that lets you nerd out hard on every technical detail. 
• Inventory-check your local store and find out right from your phone if your size and colour are in stock. 
• Favourites: So many products to love, so little time! Add products to your Favourites list so you can easily come back to them later.
• eGift Cards: Buy electronic gift cards for your family and friends through the app and send them directly to their email. 
• Store Locator: Find store hours and locations right on your phone. 
• Pay with ApplePay

 
Connect with the community:

• Join our global yoga ambassadors for 20, 45 or 60-minute yoga classes
• Get inspired by real and authentic stories posted by our own ambassadors and stores.
• Curious about what goes into our gear? Get an insider look through exclusive behind-the-scenes videos.
 
Manage your account:
 
• Use Touch ID or Face ID to make sign-in easy; rest assured, your biometric data is protected and safe. 
• My Account: Update your profile and subscribe to product emails in the improved Account settings.
• Store your preferences and purchase information to make checkout a breeze. And of course, standard shipping is always complimentary. 
 
Founded in Vancouver British Columbia in 1998, the first lululemon athletica store shared space with a yoga studio. We’ve grown quite a bit since then and our technical athletic apparel for men and women is now available online, in stores, and in showrooms all over the world. 
 
Have an idea, problem, or feedback? Get in touch at gec@lululemon.com",2014-10-02T17:08:00Z,2025-11-12T21:55:10Z
ca,Navigation,6010,4,6446901002,Threads,"Instagram, Inc.",https://apps.apple.com/ca/app/threads/id6446901002?uo=4,0.0,4.48705,92576,Social Networking,"Say more with Threads — Instagram’s text-based conversation app.

Threads is where communities come together to discuss everything from the topics you care about today to what’ll be trending tomorrow. Whatever it is you’re interested in, you can follow and connect directly with your favorite creators and others who love the same things — or build a loyal following of your own to share your ideas, opinions and creativity with the world!

A few things you can do on Threads…

■ Access your Instagram followers
Your Instagram username and verification badge are reserved for you. Automatically follow the same accounts you follow on Instagram in a few taps, and discover new accounts too.

■ Share your point of view
Spin up a new thread to express what's on your mind. This is your space to be yourself, and you control who can reply.

■ Connect with friends and your favorite creators
Jump to the replies to get in on the action and react to commentary, humor and insight from the creators you know and love. Find your community and connect with people who care about whatever it is you’re interested in.

■ Control the conversation
Customize your settings and use controls to manage who can see your content, reply to your threads, or mention you. Accounts you’ve blocked will carry over from Instagram, and we’re enforcing the same Community Guidelines to help ensure everyone interacts safely and authentically. 

■ Find ideas and inspiration
From TV recommendations to career advice, get answers to your questions or learn something new from crowd-sourced conversations, thought leaders and industry experts.

■ Never miss a moment
Stay on top of the latest trends and live events. Whether it’s about new music, movie premieres, sports, games, TV shows, fashion, or the latest product releases, find discussions and receive notifications any time your favorite profiles start a new thread.

■ Leap into the fediverse
Threads is part of the fediverse, a global, open, social network of independent servers operated by third parties around the world. Servers share information with each other to enable people to connect and discover new things across the fediverse.


Meta Terms: https://www.facebook.com/terms.php
Meta Privacy Policy: https://privacycenter.instagram.com/policy
Threads Supplemental Privacy Policy: https://help.instagram.com/515230437301944
Threads Supplemental Terms: https://help.instagram.com/769983657850450
Instagram Community Guidelines: https://help.instagram.com/477434105621119
Consumer Health Privacy Policy: https://privacycenter.instagram.com/policies/health

Learn how we're working to help keep our communities safe across Meta technologies at the Meta Safety Center: https://about.meta.com/actions/safety",2023-07-05T07:00:00Z,2025-11-19T23:58:42Z
ca,Navigation,6010,5,1223471316,Shop: All your favorite brands,Shopify Inc.,https://apps.apple.com/ca/app/shop-all-your-favorite-brands/id1223471316?uo=4,0.0,4.73383,523033,Shopping,"Shop brands you love:

- Shop big brands and local stores, and follow your faves
- Get notified about special offers, price drops, restocks, and new product drops
- Save items for later and organize things into collections (like “camping gear” or “ideas for dad”)
- Just so you know: brands don’t pay extra to sell on Shop, which means each time you buy, you’re helping out the business

Check out with one tap:

- Your payment info, shipping address, and shopping preferences all live in your secure Shop Pay wallet
- Just tap to check out (no more getting up to go find your card)
- Every shopping cart from every store is saved on Shop, so it’s all there when you’re ready to check out
- Just so you know: your info is safe with Shop, which meets strict PCI compliance standards

Track all your orders:

- See every order from every store you buy from
- Map exactly where each package is now
- Shop can even scan your email for new order info and collect it for you in the app (no more searching your inbox for updates) 

- - -

Have a question or just want to say hello? Contact us by visiting help.shop.app

Shop secure and worry free: Our servers meet strict PCI compliance standards for vaulting credit card info.

Powered by Shopify: Shop was created by the commerce platform trusted by millions of businesses worldwide.",2017-09-27T21:25:10Z,2025-11-17T13:51:42Z
ca,Navigation,6010,6,6744034028,Sora by OpenAI,"OpenAI, L.L.C.",https://apps.apple.com/ca/app/sora-by-openai/id6744034028?uo=4,0.0,4.71917,11345,Photo & Video,"Turn your ideas into videos and drop yourself into the action.

Sora is a new kind of creative app that turns text prompts and images into hyperreal videos with sound using the latest advancements from OpenAI. A single sentence can unfold into a cinematic scene, an anime short, or remix of a friend's video. If you can write it, you can see it, remix it, and share it. Turn your words into worlds with Sora.

Explore, play, and share your imagination in a community built for experimentation.

What’s possible with Sora

Create Videos in Seconds
Start with a prompt or image and Sora generates a complete video with audio inspired by your imagination.

Collaborate & Play
Cast yourself or your friends in videos. Remix challenges and trends as they evolve.

Choose Your Style
Make it cinematic, animated, photorealistic, cartoon, or entirely surreal.

Remix & Make It Yours
Take someone else’s creation and put your spin on it - swap characters, change the vibe, add new scenes, or extend the story.

Find Your Community
Community features make it easy to share your creations and see what others are making.

Terms of use & privacy policy:
https://openai.com/policies/terms-of-use
https://openai.com/policies/privacy-policy",2025-09-30T07:00:00Z,2025-11-19T21:06:24Z
ca,Navigation,6010,7,1113153706,Microsoft Teams,Microsoft Corporation,https://apps.apple.com/ca/app/microsoft-teams/id1113153706?uo=4,0.0,4.70838,542223,Business,"Whether you’re connecting with your community for an upcoming activity or working with teammates on a project, Microsoft Teams helps bring people together so that they can get things done. It’s the only app that has communities, events, chats, channels, meetings, storage, tasks, and calendars in one place—so you can easily connect and manage access to information. Get your community, family, friends, or workmates together to accomplish tasks, share ideas, and make plans. Join audio and video calls in a secure setting, collaborate in documents, and store files and photos with built-in cloud storage. You can do it all in Microsoft Teams. 

Easily connect with anyone: 
• Skype is now part of Teams. Continue where you left off with your chats, calls and contacts in Microsoft Teams Free. 
• Meet securely with communities, teammates, family, or friends.
• Set up a meeting within seconds and invite anyone by sharing a link or calendar invite. 
• Chat 1-1 or to your entire community, @mention people in chats to get their attention. 
• Create a dedicated community to discuss specific topics and make plans*.
• Work closely and collaborate by keeping conversations organized by specific topics and projects with teams and channels.
• Video or audio call anyone directly in Teams or instantly convert a group chat to a call. 
• Use GIFs, emojis, and message animations to express yourself when words aren’t enough.
 
Accomplish plans and projects together: 
• Send photos and videos in chats to quickly and easily share important moments.
• Use cloud storage to access shared documents and files on the go. 
• Organize shared content in a community — events, photos, links, files —so you don’t have to waste time searching*. 
• Get the most out of your meetings by using screen share, whiteboard, or breakout in virtual rooms.
• Manage access to information and ensure the right people have access to the right info, even when people join and leave projects.
• Use task lists to stay on top of projects and plans - assign tasks, set due dates, and cross off items to keep everyone on the same page. 

Designed to give you peace of mind: 
• Securely collaborate with others while maintaining control over your data.
• Keep communities safe by allowing owners to remove inappropriate content or members*.
• Enterprise-level security and compliance you expect from Microsoft 365**. 

*Available when using Microsoft Teams with your Microsoft account.

**Commercial features of this app require a paid Microsoft 365 commercial subscription or a trial subscription of Microsoft Teams for work. If you’re not sure about your company’s subscription or the services you have access to, visit Office.com/Teams to learn more or contact your IT department. 

By downloading Teams, you agree to the license (see aka.ms/eulateamsmobile) and privacy terms (see aka.ms/privacy). For support or feedback, email us at mtiosapp@microsoft.com. EU Contract Summary: aka.ms/EUContractSummary

Consumer Health Data Privacy Policy   
https://go.microsoft.com/fwlink/?linkid=2259814",2016-11-02T21:19:53Z,2025-11-19T10:48:46Z
ca,Navigation,6010,8,6742152082,Aritzia,Aritzia LP,https://apps.apple.com/ca/app/aritzia/id6742152082?uo=4,0.0,3.22548,683,Shopping,"Your personal Stylist— whenever, wherever. Explore app-exclusive content and curated outfit ideas. Unlock exclusive early access to coveted collabs, drops and new product launches. Discover the Closet feature, a living archive of all your Aritzia pieces — and get inspired by our best-dressed community of Aritzia Muses, in-house Stylists and content creators. Plus, the app’s immersive design, intuitive browsing and elevated Product Pages ensure a seamless shopping experience. Clothes are fun — and this app knows it.

Key Features:
App-Exclusive Content
Explore the Style Feed, a shoppable stream of styling inspiration. Discover the latest trends, access expert advice from our very own Stylists, get an insider look at Aritzia’s newest collections and more.

App-Exclusive Early Access
Be the first to know — and shop — with early access to our most coveted collaborations, colour drops and new product launches.

Closet
Another app-exclusive feature that keeps track of your Aritzia pieces, purchased in-app, in-store and online. See what you have and how to style it, all in one sleek space.

Immersive Design for Endless Discovery
So immersive, it’ll feel like you’re at our boutiques. Elevated Product Pages feature Gallery Mode visuals and even audio. Intuitive browsing and endless recommendations help you discover your next favourite style — and 15 after that.

We use cookies and similar technologies that collect information about your device and track your online activity on our app, our website, and other online services. While the current version of the Aritzia app gives you the right to decide whether or not to permit the use of data used to track you, it does not offer the ability to fully disable cookies.  Even if you do not allow the use of tracking data, Aritzia may use some of your personal information in the app, including to make the app content more relevant to you, which you cannot disable within the app.  By downloading and using this app, you consent to our use of cookies.  Our Privacy Policy explains how you can opt out of certain cookies based on their purpose (including targeted advertising) when you use our website.",2025-10-27T07:00:00Z,2025-11-18T02:41:29Z
ca,Navigation,6010,9,6670324846,Grok,X.AI Corporation,https://apps.apple.com/ca/app/grok/id6670324846?uo=4,0.0,4.88401,72191,Productivity,"Grok is an AI-powered assistant, developed by xAI, designed to be maximally truthful, useful, and curious. Get answers to any question, generate striking images and videos, and let Grok search the web and X for you to gain a deeper understanding of the world. With Grok, the universe is in your hands!

AI assistant
- Ask anything and get fast replies, have Grok do deep research on the web for you, or solve the hardest problems in math, science, and coding with Grok 4.
- Upload documents and photos, or paste links in the chat to have Grok analyze or help you understand the content.

Grok Imagine
- Imagine is a new, super fast, groundbreaking AI image and video generation experience. 
- Generate 6-second videos with sound from text prompts, and turn static photos into videos.
- Generate AI images using only your voice.

Grok Voice Mode
- Talk to Grok using your voice and get natural sounding replies as if you’re having a conversation with a human.
- Live Camera: If you want Grok to see what you see, you can use Voice Mode with Live Camera to share your view in real-time.
- Personalize your AI Assistant and choose between different personalities, like Assistant, Romantic, Storyteller, and more.

Grok AI Companions
- Have a chat with Ani, Rudi, or Valentine, our animated AI characters, each bursting with personality,
- Rudi is a cheeky red panda with a sense of humor that you can banter with.
- Valentine is a romantic male with poetic charm, perfect for deep and soulful conversations. 
- Ani is a charmer who blushes and sends hearts as your bond grows.

Real-time info from X
- With access to X (previously Twitter) and web data, Grok is the AI assistant with the most up-to-date information, keeping you informed about the latest news and trends in the world, for any given topic.
- You can also ask Grok to do advanced searches for you on X, letting you dive even deeper into what’s happening and what people are saying.

Create and edit images
- Generate striking images from simple text prompts, or upload images and ask Grok to edit them.
- Remove objects, change the scenery, or apply any art style, like Ghibli or Anime.

With Grok as your copilot and personal AI assistant, navigating the vast expanse of knowledge becomes exciting! Tap into X’s live trends, fire off bold questions, have fun conversations with AI Companions, or use the new AI image and video generation tool Imagine to explore your boundless creativity.


Terms of Service: https://x.ai/legal/terms-of-service
Privacy Policy: https://x.ai/legal/privacy-policy

Grok by xAI",2025-01-06T08:00:00Z,2025-11-20T00:45:18Z
ca,Navigation,6010,10,1558240027,Meta AI,"Meta Platforms, Inc.",https://apps.apple.com/ca/app/meta-ai/id1558240027?uo=4,0.0,4.60098,3273,Photo & Video,"Meet the new Meta AI app, your personal AI assistant that understands you. Get tailored answers, advice and inspiration as you go about your day.

Open the app and start talking. The Meta AI app (previously the Meta View app) is designed for natural back-and-forth conversations, so you can get what you need faster and more easily. Meta AI* can learn your preferences and interests to give you more helpful answers, whether you’re on the go or getting work done. It can also help you create, edit and restyle images.

Looking for inspiration? Get AI hacks and prompts from the community in the Discover feed, and remix your favorites to try them out yourself. 

If you have Ray-Ban Meta glasses, this is the updated companion app you’ll need to do things like manage your glasses, import and share photos and videos, and more. The Meta AI app is required to support your glasses experience.

*Certain Meta AI features are only available in select countries and languages. Some of these features may roll out slowly over time.

Need to report an issue or share feedback? Simply shake your phone and tap on “Report a Bug.”",2021-09-09T07:00:00Z,2025-11-18T02:11:00Z
