category,genre_id,rank,app_id,name,developer_rss,url_rss,rating,ratings_count,price,description
Food & Drink,6023,1,758103884,foodpanda: Food & Groceries,Foodpanda,https://apps.apple.com/pk/app/foodpanda-food-groceries/id758103884?uo=2,,,,
Food & Drink,6023,2,1480491422,KFC Pakistan,Gray Mackenzie restaurant international limited,,,,,
Food & Drink,6023,3,1217507712,McDonald's,McDonald's Global Markets LLC,,,,,
Food & Drink,6023,4,1535315212,Cheezious,MS CHEEZIOUS,,,,,
Food & Drink,6023,5,1662451643,Keeta - Food Delivery,Kangaroo Limited,,,,,
Food & Drink,6023,6,596011949,HungerStation - Food Delivery,HungerStation LLC,,,,,
Food & Drink,6023,7,1453983132,Domino's Pakistan,HILAL RETAIL BRANDS (PRIVATE) LIMITED,,,,,
Food & Drink,6023,8,1559873794,Kababjees (PK),INDOLJ,,,,,
Food & Drink,6023,9,1559366003,Broadway Pizza Official,J & S Corporation,,,,,
Food & Drink,6023,10,451001072,"talabat: Food, grocery & more",Talabat General Trading and Contracting Company,https://apps.apple.com/pk/app/talabat-food-grocery-more/id451001072?uo=2,,,,
Food & Drink,6023,11,1614618652,Doctor Saucy,TECH WORKS (PRIVATE) LIMITED,,,,,
Food & Drink,6023,12,1636765236,Savour Foods,Muhammad shakir Muhammad Sharif,,,,,
Food & Drink,6023,13,6450005343,Crumble Pakistan,Agha Usman,https://apps.apple.com/pk/app/crumble-pakistan/id6450005343?uo=2,,,,
Food & Drink,6023,14,6474295962,Tehzeeb Bakers,UnitedSol (Pvt) Ltd,,,,,
Food & Drink,6023,15,6743483088,Pizza Hut Pak,"Pizza Hut META Middle East, Africa, Turkey and Pakistan",https://apps.apple.com/pk/app/pizza-hut-pak/id6743483088?uo=2,,,,
Food & Drink,6023,16,1058959277,Uber Eats: Food & Groceries,"Uber Technologies, Inc.",https://apps.apple.com/pk/app/uber-eats-food-groceries/id1058959277?uo=2,,,,
Food & Drink,6023,17,1566916614,OPTP (One Potato Two Potato),The Potato Factory International,,,,,
Food & Drink,6023,18,6447162082,Ranchers Cafe,Codistan Pvt Ltd,,,,,
Food & Drink,6023,19,1493275785,Daily Deli,tossdown Inc.,,,,,
